year,grade,stu_count,stu_ranking
2015,703,1,1
2015,701,1,2
2015,699,1,3
2015,698,2,5
2015,696,1,6
2015,695,2,8
2015,694,2,10
2015,693,5,15
2015,692,3,18
2015,691,1,19
2015,690,2,21
2015,689,1,22
2015,688,3,25
2015,687,7,32
2015,686,5,37
2015,685,5,42
2015,684,9,51
2015,683,9,60
2015,682,9,69
2015,681,8,77
2015,680,9,86
2015,679,13,99
2015,678,13,112
2015,677,12,124
2015,676,17,141
2015,675,18,159
2015,674,9,168
2015,673,17,185
2015,672,28,213
2015,671,19,232
2015,670,35,267
2015,669,30,297
2015,668,29,326
2015,667,27,353
2015,666,23,376
2015,665,30,406
2015,664,37,443
2015,663,39,482
2015,662,47,529
2015,661,40,569
2015,660,33,602
2015,659,54,656
2015,658,38,694
2015,657,51,745
2015,656,62,807
2015,655,56,863
2015,654,57,920
2015,653,57,977
2015,652,76,1053
2015,651,68,1121
2015,650,68,1189
2015,649,73,1262
2015,648,71,1333
2015,647,87,1420
2015,646,72,1492
2015,645,108,1600
2015,644,85,1685
2015,643,102,1787
2015,642,99,1886
2015,641,79,1965
2015,640,125,2090
2015,639,122,2212
2015,638,112,2324
2015,637,121,2445
2015,636,110,2555
2015,635,124,2679
2015,634,136,2815
2015,633,121,2936
2015,632,122,3058
2015,631,136,3194
2015,630,147,3341
2015,629,149,3490
2015,628,147,3637
2015,627,153,3790
2015,626,154,3944
2015,625,157,4101
2015,624,180,4281
2015,623,146,4427
2015,622,158,4585
2015,621,170,4755
2015,620,189,4944
2015,619,172,5116
2015,618,211,5327
2015,617,182,5509
2015,616,197,5706
2015,615,218,5924
2015,614,213,6137
2015,613,225,6362
2015,612,208,6570
2015,611,222,6792
2015,610,218,7010
2015,609,226,7236
2015,608,226,7462
2015,607,247,7709
2015,606,249,7958
2015,605,233,8191
2015,604,247,8438
2015,603,271,8709
2015,602,265,8974
2015,601,256,9230
2015,600,288,9518
2015,599,279,9797
2015,598,271,10068
2015,597,296,10364
2015,596,283,10647
2015,595,297,10944
2015,594,238,11182
2015,593,295,11477
2015,592,299,11776
2015,591,289,12065
2015,590,281,12346
2015,589,293,12639
2015,588,303,12942
2015,587,342,13284
2015,586,321,13605
2015,585,297,13902
2015,584,300,14202
2015,583,302,14504
2015,582,294,14798
2015,581,328,15126
